"NULL.Name","NULL.Year.","artist","title2","lyrics"
"Earth Song (Hani's Club Experience) Lyrics","2006","Michael-Jackson","Earth-Song-Hanis-Club-Experience-Lyrics","What about sunrise
What about rainWhat about all the things
That you said we were to gain...
What about killing fields
Is there a time
What about all the things
That you said was yours and mine...
Did you ever stop to notice
All the blood we've shed before
Did you ever stop this notice
This crying Earth this we make sure?, Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo, What have we done to the world
Look what we've done
What about all the peace
That you pledge your only son...
What about flowering fields
Is there a time
What about all the dreams
That you said was yours and mine...
Did you ever stop to notice
All the children dead from war
Did you ever stop to notice
This crying Earth this we make sure?, Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo, I used to dream
I used to glance beyond the stars
Now I don't know where we are
Although I know we've drifted far, Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo, Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo, Hey, what about yesterday
(What about us)
What about the seas
(What about us)
The heavens are falling down
(What about us)
I can't even breathe
(What about us)
What about the bleeding Earth
(What about us)
Can't we feel it's wounds
(What about us)
What about nature's worth
(Oooh, oooh)
It's our planet's womb
(What about us)
What about animals
(What about it)
We've turned kingdoms to dust
(What about us)
What about elephants
(What about us)
Have we lost thier trust
(What about us)
What about crying whales
(What about us)
We're ravaging the seas
(What about us)
What about forest trails
(Oooh, oooh)
Burnt despite our pleas
(What about us)
What about the holy land
(What about it)
Torn apart by creed
(What about us)
What about the common man
(What about us)
Can't we set him free
(What about us)
What about children dying
(What about us)
Can't you hear them cry
(What about us)
Where did we go wrong
(Oooh, oooh)
Someone tell me why
(What about us)
What about babies
(What about it)
What about the days
(What about us)
What about all their joy
(What about us)
What about the man
(What about us)
What about the crying man
(What about us)
What about Abraham
(What about us)
What about death again
(Oooh, oooh)
Do we give a damn, Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo
Aaaaaaaaah, Oooooo, "
"Ease on Down The Road Lyrics","2006","Michael-Jackson","Ease-on-Down-The-Road-Lyrics","Come on and
Ease on down, Ease on down the road
Come on, Ease on down, Ease on down the road
Don't you carry nothing that might be alone come on, Ease on down Ease on down, down the road, Come on
Ease on down, Ease on down the road(ease on down)
Come on
Ease on down, Ease on down the road(ease on down)
Don't you carry nothing that might be alone
Come on
Ease on down, Ease on down, down the road, Pick your left foot up, when your right foots down
Come on lets keep moving, don't you lose control
You just keep on Keepin' on the road that you choose
Don't you give up walking cause you gave up shoes, Ease on down, Ease on down the road (come on)
Ease on down, Ease on down the road
Don't you carry nothing that might be alone
Come on
Ease on down, Ease on down, down the road, Cause there may be times when you think you lost your mind
And the steps you're taking leave you three four steps behind
But the road you're walking might be long sometimes
You just keep on stepping and you'll be just fine (yeah), Ease on down, Ease on down the road (ease on down)
Ease on down, Ease on down the road (ease on down)
Don't you carry nothing that might be alone
Come on
Ease on down, Ease on down, down the..., For there may be times, when you wish you wasn't born
And you wake one morning just to find your courage gone
But you know that feeling only last a little while
You just stick with us and you'll be just fine (yeah), Get 'em up, on down (ease on down)
Get 'em up, on down (ease on down)
Get 'em up, on down(ease on down)
Get 'em up Get 'em up (ease on down)
Get 'em up, on down (ease on down)
Get 'em up, on down (ease on down)
Get 'em up (ease on down) on down (ease on down)
Get 'em up, Get 'em up (ease on down)
Get 'em up, on down(ease on down the road)
Get 'em up, on down (ease on down)
Get 'em up, on down (ease on down)
Get 'em up, Get 'em up (ease on down)
Get 'em up, on down. (ease on down)"
"Eaten Alive Lyrics","2006","Michael-Jackson","Eaten-Alive-Lyrics","Animal stalking you at night
I'm a sucker for someone
And I got the prey in sight
Lying on a bed of leaves
In the modern times
You forget and let your spirit breathe, Capture me, my blood is red
Another victim of your ritual
For you, my skin is shed
Ecstasy ain't what you find
In the modern world
One flick of my tongue changes
The meaning of the world, And you say that's impossible
That's not impossible to do, oh
And you digest what I can see
The taste of you can be, I don't wanna get eaten alive
'Cause you're so dangerous
No more hearts I can trust
You see, I don't wanna get eaten alive
To be eaten alive, eaten alive
I don't ever wanna be eaten alive, Now I got you on the run
The quicker my senses
And the chance is, I'm the faster one
I know the universal law
Primeval times with a little stimulation
It'll come once more, And you say that's impossible
It's not impossible to do, oh
And you digest what I can see
The taste of you can be, I don't wanna get eaten alive
'Cause you're so dangerous
No more hearts I can trust
You see, I don't wanna get eaten alive
To be eaten alive, eaten alive
I don't ever wanna be eaten alive, I don't wanna get eaten alive
'Cause you're so dangerous
No more hearts I can trust
You see, I don't wanna get eaten alive
To be eaten alive, Tie me to a tree, crawl all over me
You can rip my shirt, drag me in the dirt
I will be your slave, anything you say
I don't ever wanna be eaten alive, I don't wanna get eaten alive
'Cos you're so dangerous
No more hearts I can trust
You see, I don't wanna get eaten alive
'Cos you're so dangerous
No more hearts I can trust, You see, I don't wanna get eaten alive
'Cos you're dangerous
No more hearts I can trust
You see, I don't wanna get eaten alive
To be eaten alive, Gotta do her, crawl all over me
You can rip my shirt, drag me in the dirt
I will be your slave, anything you say
I don't ever wanna be eaten alive"
"Elisabeth I Love You Lyrics","2006","Michael-Jackson","Elisabeth-I-Love-You-Lyrics","Welcome to Hollywood
That's what they told you
A child star in Hollywood
That's what they sold you
Grace with beauty, charm and talent
You would do what you were told
But they robbed you of childhood
Took your youth and sold it for gold, Elizabeth, I love you
You're every star that shines in the world to me
Elizabeth can't you see that it's true
Elizabeth, I love you
You're more than just a star to me, Lovely Elizabeth
You have surpassed them all
My friend Elizabeth
Learned to outlast them all
Many started back when you did
Lost their way and now they're gone
But look at you, a true survivor
Full of life and carrying on, Elizabeth, I love you
You're every star that shines in the world to me
Elizabeth can't you see that it's true
Elizabeth, I love you
You're more than just a star..., This is your life
You seem to have it all
You reached your peak
They wanted you to fall
It's very sad, this world can be so bad
But though all the heartaches
When they put you down
You know you were the victor
And you earned the crown
It's like walking through the fire
Determined to win
You were beating life's battles
Again and again, Elizabeth, I love you
You're every star that shines in the world to me
Elizabeth can't you see that it's true, Remember the time I was alone
You stood by my side and said:
""Let's be strong""
You did all these tings
That only a true friend can do, Elizabeth, I love you
The world knows your work now
Of all the things on earth now
I pray one day I'll be just like... you."
"Escape Lyrics","2007","Michael-Jackson","Escape-Lyrics","Open up 6
He's gone!, Every where I turn no matter where I look
The systems in control its all ran by the book
I gotta get away so I can free my mind
Escape is
What I need
(lectric') lectric eyes, No matter where I am I see my face around
They pin lies on my name and put them town to town
Don't have a place to run but there's no need to hide
I got ta
Find a place
So I can
Hide away, Escape/
Gotta get away from the system, rules and the world today
Escape/
The pressure that I feel from relationships had to go away/
Escape/
The man with the pen that writes the lies that has no ink/
Escape/
I do what I wanna 'cause I gotta be nobody but me, Sometimes I feel like....I've gotta get away, I tried to share my life with someone I could love
But games and money is all she ever thought of
How could that be my fault when she gambled and lost?
I'm tired of
Silly games
Time to
Make a change
Why is it I cant do whatever want to?(hoah)
When in my personal life freind i dont live for you(you!)
So don't you try to (don't you try it) tell me what is right for me
To be con, cerned about you
I cant do
What I want to, Escape/(I got ta)
Gotta get away from the system, rules and the world today (I gotta get away)
Escape/
The pressure that I feel from relationships had to go away (don't you know that
baby)
Escape/
The man with the pen that writes the lies that has no ink (I gotta get away)
Escape/
I do what I wanna 'cause I gotta be nobody but me (Get away!), Escape/
Gotta get away (don't you try it) from the system, rules and the world today
(escape...)
Escape/
The pressure that I feel (pressure that I'm feelin everyday) from relationships
had to go away/
Escape/
The man with the (Whooo hooo!) pen that writes the lies that has no ink (come
on now)
Escape/
I do (whoooo (come on now) hoooohooo) what I wanna 'cause I gotta be nobody but me, When I go
Oh, now
This problem world won't brother me
This problem world (this problem world)
Won't worry me (worry me!) no more
Yeah
hoah
Yeah
hooo!, Escape
ah
Escape
ah
Escape
ah
Escape, Escape/
Gotta get away from the system, rules and the world today (I can find a way!)
Escape/
The pressure that I feel from relationships had to go away (pressure that I'm
feelin)
Escape/
The man with the pen that writes the lies that has no ink (writing all those
lies)
I do what I wanna 'cause I gotta be nobody but me (escape and then I do just what
I wanna)
Escape/ (bay bay)
I gotta (whooo hoooo) get away from the system, rules and the world (whooo
hoooo) today
Escape/
The pressure (whoo hooo) that i feel from relationships had to go away (See,
I've gotta get away, baby)
Escape/
The man with the pen that writes the lies that has no ink (The man that writes
the lies)
I do (hoo) what I wanna 'cause I gotta (hooo) be nobody but me
Escape/
gotta get away- (hoah, tell my mother....I gotta get away)
Escape/
The pressure that I feel- (Take it no more!)
Escape/
The man with the pen- (I can't take this kinda shit no moooooooooooore!)
Escape/
I do what I wanna 'cause I gotta (Whoooooooooooooooo hooooooooo) be nobody but me, Escape..., Aoow!, Ha
Ha
Ha, Sometimes you just wanna escape, you wanna escape
Ha
Ha
Gotta get outta here!
Ah,
Escape(ahhhhhhh!)gotta get away
Escape
You want me, come and get me
The pressure that I feel- Escape
The man with the pen -get away....
I do (hee hee) what I wanna-
I do (hee hee hee) what I wanna 'cause I gotta be nobody (hee hee hee)
But me
Do what I wanna!
hee hee heee
hoo!, Escape"
"Euphoria Lyrics","2000","Michael-Jackson","Euphoria-Lyrics","Euphoria, 
E-U-P-H-O-R-I-A
That's the new word for today
E-U-P-H-O-R-I-A
It's very easy to say
Say Euphoria and you'll feel fine from the start
You can close your eyes
And see the world with your heart, Do what you wish, be what you are
What a victorious thrill
Wearing a smile, all of the while
Feeling the world standing still
Watch raindbows glow rest on a bed of flowers
Then dial a star
Anything's in your powers, Euphoria
Full euphoria
Knowing no ills, needing no pills
Singing a rock and roll hymn
Feeling glorious, full of love
Fine from the start
You can close your eyes
And see the world with your heart, How good to be happy and free
Living the way that you choose
Healthly and clean
Can't understand anyone having the blues
Euphoria never to feel frustration
How great to give love without invitation
Euphoria, euphoria
Long as we love each other"
"Fall Again Lyrics","2007","Michael-Jackson","Fall-Again-Lyrics","Feels like a fire that burns in my heart
Every single moment that we spend apart
I need you around for every day to start
I haven't left you alone
SOMETHING ABOUT YOU, starin' in your eyes
And everything I'm looking for I seem to find
All this time away is killing me inside
I need your love in my life, I wanna spend time till it ends
I wanna fall with you again
Like we did when we first met
I wanna fall with you again, We fought in a battle, nobody won
NOW WE FACE A MOUNTAIN TO BE OVERCOME
You can't run away, the past is said and done
I need us to carry on, I wanna spend time till it ends
I wanna fall with you again
Like we did when we first met
I wanna fall with you again, You'll try everything
You never thought WOULD WORK before
When you live, when you love, and you give them your all
You can always give up some more
BABY nothing means anything
Unless you're here TO SHARE with me, I can breathe, I can bleed, I can die in my sleep
Cause you're always there in my dreams
I wanna spend time till it ends
I wanna fall with you again, Like we did when we first met
I wanna fall with you again
I wanna spend time till it ends
I wanna fall with you again
Like we did when we first met
I wanna fall with you again"
"Farewell My Summer Love Lyrics","2006","Michael-Jackson","Farewell-My-Summer-Love-Lyrics","Ooh, farewell my summer love, farewell
Girl I won't forget you
Farewell, my summer love, farewell, ooh, I found my happiest days
When you came to see your grandma in may
I bumped into you by the corner store
I told you that you sure looked good, now, Your grandma's house was next to mine
We were together most of the time
But summer's gotten away from us
Time's moving too fast for us
Bye, bye, don't turn around
'Cause you might see me cry, Farewell my summer love, farewell
Girl I won't forget you
Farewell, my summer love, farewell, ooh, yeah, When you return to your hometown
And you discuss your trip
Will I be the guy that you put down?
Or someone that you don't forget, no?, I'll never forget you
And maybe next year, When you're out of school
You'll return, but until you do, baby
Bye, bye, don't turn around
You might see me cry, Farewell my summer love, farewell
Girl I won't forget you
Farewell, my summer love, farewell, yeah, Ooh, farewell, farewell
Ooh, farewell, farewell, If you remember my name
(Drop a line)
Drop a line sometime, yeah, yeah, ooh
Girl I won't forget you, Farewell my summer love, farewell
Girl I won't forget you
Farewell, my summer love, farewell, ooh yeah, Farewell my summer love, farewell
Girl oh yeah
Farewell, my summer love, farewell, farewell yeah, yeah, yeah, Farewell my summer love, farewell
Girl I won't forget you
Farewell, my summer love, farewell"
"Fight (Over Skit) Lyrics","2006","Michael-Jackson","Fight-Over-Skit-Lyrics","do u ever wonder y we need to die or why do they have to leave us y would they want 2 hurt millions of people why did he have to die why now i loved his songs and him why now why would u wanna take him away from us
why -would u take him away from this beautiful world it hurts 2 say good bye to some one u really cared about but i just cant say good bye to Micheal Jackson i cant am 2 little and to small 2 be hurt at my age well in all in loving memorizes that i have seen i has been a good time and bad times but that's just how life is you never know whats gunna happen or when were gunna die no does so hear are my good byes oh dear lord u took him away from us but i know u had ur reasons and i have my reasons in y he had 2 stay with us cause he makes lots of people happy in our world that u have created for us but now that u have taken him away u took others with him people died for him when they had heard that he had died so these is my good byes 2 the ones u took 2 but most just for Micheal Jackson may u R.I.P hears 2 u"
"Fly Away Lyrics","2006","Michael-Jackson","Fly-Away-Lyrics","Our love's an ocean
Give me a notion
'Cause you know I'll never part
Our love goodbye, Our love's a season
Give me a reason
'Cause you know I'll never part
Our love goodbye, And together we'll fly
I'll give you my heart
'Cause no place too far for us
We don't need it, Our love's an ocean
Give me a notion
'Cause you know I'll never part
Our love goodbye, Our love's a season
Give me a reason
'Cause you know I'll never part
Our love goodbye, And together we'll fly
I'll give you my heart
No place too far for us
We don't need it, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today, I love's an ocean
Give me emotion
'Cause you know I'll never see
A thing you see, I'll have a reason
Give me a treason
'Cause you know I'll never part
Our love's so hard, And together we'll fly
I'll give you my heart
(Give you my heart)
No place too far for us
We don't need it, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today, Love is here to stay, Alone at last
I'll give you my heart
(Give you my heart)
'Cause no place too far for us
We don't need it, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today, Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today
Baby, don't make me
Baby, don't make me
Baby, don't make me
Fly away
Gonna stay
Love today
Love is here to stay
I love you
Love you
Love you
Love you, girl
Make me fly away"
"For All Time Lyrics","2007","Michael-Jackson","For-All-Time-Lyrics","Sun comes up on this new morning, Shifting shadows, a songbird sings
And if these words could keep you happy
I'd do anything, And if you feel alone, I'll be your shoulder, With a tender touch, you know so well
Somebody once said, it's the soul that matters
Baby, who can really tell when two hearts belong so well
And maybe the walls will tumble
And sun may refuse to shine, But when I say 'I love you'
Baby, you gotta know
That's for all time
Baby, you gotta know
That's for all time
Moon shines down on this good evening
One warm kiss in the cold night air
For this good love I'm receiving
I'll go anywhere, just as long as you are there, And maybe the walls will tumble
And sun refuse to shine
When I say 'I love you'
Baby, you gotta know
That's for all time, Baby, you gotta know
That's for all time
Ohh... then on these quiet days
Where souls embrace
So silently
Ohh... the rain may wash away
All these words that young lovers say
And maybe the walls will crumble
And sun refuse to shine, But when I say 'I need you'
Baby, you gotta know
That's for all time
Baby, you gotta know, That's for all time
Say that you'll never go
That's for all time
Baby, you gotta know
That's for all time
Baby, you gotta know
That's for all time
Baby, you gotta know
That's for all time
(That's for all time) Don't lie, Don't lie
(That's for all time) Baby, make loving
Say that you'll never go
Baby, you gotta know"
"Get Around Lyrics","2010","Michael-Jackson","Get-Around-Lyrics","I said maybe tonight
We will get it right
We will get around (tonight), So get around me (I love you today)
Get around them (You save the day)
Get around the world today
And show me what you got
Cause you ain't gonna give up"
"Get On The Floor Lyrics","2006","Michael-Jackson","Get-On-The-Floor-Lyrics","Ah, on the floor and dance
Ah, on the floor and dance
So get on the floor, And dance with me
I love the way you shake your thing
Especially
There's a chance for dancin'
All night long, There's a chance for groovin'
And it will be soothing
With a song
Then why don't you just
Dance across the floor
'Cause there's a chance for chances, And the chance is choosin'
And I sure would like just to groove with you
So get on the floor
And dance with me
I love the way you shake your thing
Especially, So get on the floor, And dance with me, I love the way you shake that thing, girl
Especially
No need for rejection
Determined to be
Gonna groove gonna move ya
Gonna say things to ya, Just wait and see, Then why don't you just, Dance across the floor, 'Cause there's a chance for choices
And it's you I'm choosin'
And I sure would like just to groove with you
So get on the floor
And dance with me, I love the way you shake your thing, Especially, So get on the floor
And dance with me
I love the way you shake that thing girl
Especially
Get up won't you g'on get down, shake your body won't you g'on get down...
So get on the floor
And dance with me
I love the way you shake that thing girl
Especially
So get on the floor
And dance with me
I love the way you shake your thing, girl
Especially
Get up won't you g'on get down, shake your body won't you g'on get down..."
"Ghosts Lyrics","2006","Michael-Jackson","Ghosts-Lyrics","There's a ghost down in the hall, There's a ghoul upon the bed
There's something in the walls
There's blood up on the stairs
And it's floating through the room
And there's nothing I can see
And I know that that's the truth
Because now it's haunting me
I don't understand it
Hey
I don't understand it!
...Aaow
There's a thumpin' in the floor
There's a creak behind the door
There's a rocking in the chair
But there's no-one sitting there
There's a ghostly smell around
But nobody to be found
And a coughin' and a yawnin'
Where a restless soul is going
Don't understand it!
Hey
Don't understand it!
...Ha-Hey!
And who gave you the right to shame my family?
And who gave you the right to shake my baby, she needs me
And who gave you the right to shame my family tree?
You put a knife in my back
Shot an arrow in me!
Tell me are you the ghost of jealousy?
The ghost of jealousy
There's a thumpin' in the floor
There's a creak behind the door
There's a rocking in the chair
But nobody's sitting there
There's a ghostly smell around
But nobody to be found
And a coughin' and a yawnin'
Where a restless soul is going
Don't understand it!
Yeah Yeah!
Don't understand it!
You're just a dog gone!
Aaow!
And who gave you the right to scare my family?
And who gave you the right to scare my baby, she needs me
And who gave you the right to shame my family tree?
And who gave you the right to take intrusion, to see me?
And who gave you the right to shame my family?
And who gave you the right to hurt my baby, she needs me
And who gave you the right to shame my family tree?
You put a knife in my back
Shot an arrow in me!
Tell me are you the ghost of jealousy
A suckin' ghost of jealousy
...Aaow!
And who gave you the right to shame my family?
And who gave you the right to shake my baby, she needs me
And who gave you the right to shame my family tree?
And who gave you the right to take, intrusion to see me?
And who gave you the right to hurt my family?
And who gave you the right hurt my baby, she needs me
And who gave you the right to shame my family tree?
You put a knife in my back
Shot an arrow in me!
Tell me are you the ghost of jealousy
The ghost of jealousy
Aaow!
Dog gone
But there's no doubt about it, piece of mind
Tell me are you the ghost of jealousy"
"Girl You're So Together Lyrics","2006","Michael-Jackson","Girl-Youre-So-Together-Lyrics","Girl you're so together
Together we can make it, all the way
If I had a chance to choose
Between a million bucks and you
I'd choose you babe, yeah, It's no dreams
But with proof as sweet as you, noo
Apples peaches and cherries
Just won't do, ooh baby, Even the flowers and lollipops
Could never hope to top
The sweetness of your kiss
Can you dig it?, Girl you're so together
And together we can make it, all the way, yeah, yeah
If I had a chance to choose
Between a million bucks and you
I'd choose you babe
(Choose you babe)
Girl your smile, ooh, Is like the month of may, yeah
When you're near me
The storm clouds stay away, yeah
Even the little honey bees
Turn to you when they need more honey
Love you so much it's not funny, Girl you're so together
And together we can make it all the way, yeah
Oh, girl, you're so together
Oh, hey girl, girl, eye, eye, popper
A real life traffic stopper
A knock-out queen, Oh, what I mean is
Girl you're so together
And together we can make it all the way
Oh, I love her, I love her, I love, I love you babe
(Girl you're so together)
Yeah
(And together we can make it all the way)
Ooh, girl, you're so together, (Repeat and fade out)"
"Girl, Don't Take Your Love from Me Lyrics","2003","Michael-Jackson","Girl,-Dont-Take-Your-Love-from-Me-Lyrics","Oooh
Foolish of me, I couldn't see
The forest for the trees
You've been so true
I've been so cruel to you
Oh, girl please don't leave me, Chorus:
If you stay I'll find a way
To erase the past
Baby don't leave me
Girl don't take your love from me
Oh girl, What can I say to make you stay
Baby, don't leave me
You've been so kind
It blows my mind to know
Oh girl, I really hurt you, Chorus:
Tell me girl, it's not to late
And you give me a chance
To make it up to you
Don't take your love from me
Girl don't take your love
Don't take your love, Bridge:
Girl, if you take your love away from me
I'm gonna be in misery
Your love is the strength that I lean upon
How will I make it when it's gone
Of all the little things I wanted to say...
...I really wanted to do
Girl, this time...
Ooh, oh girl I really mean it, Chorus:
So tell me girl, it's not too late
And you'll give me a chance
To make it up to you
Don't take your love from me
Don't take your love, no no no no no
Don't take your love
Don't leave me girl, Don't take your love from me
Baby, don't take your love from me
Don't take your love from me
Oooh, don't take your love from me
Baby, don't take your love from me"
"Give In To Me Lyrics","1991","Michael-Jackson","Give-In-To-Me-Lyrics","She always takes it with a heart of stone
'Cause all she does is throw it back to me
I've spent a lifetime looking for someone
Don't try to understand me
Just simply do the things I say, Love is a feeling
Give it when I want it
'Cause I'm on fire
Quench my desire
Give it when I want it
Talk to me woman
Give in to me
Give in to me, You've always knew just how to make me cry
And never did I ask you questions why
It seems you get your kicks from hurting me
Don't try to understand me
Because your words just aren't enough, Love is a feeling
Quench my desire
Give it when I want it
Takin' me higher
Love is a woman
I don't wanna hear it
Give in to me
Give in to me, You and your friends were laughing at me in town
But it's okay
And it's okay
You won't be laughing girl when I'm not around
I'll be okay
And I, I gotta find
Gotta, the peace of mind, no, Don't try to tell me
Because your words
Just aren't enough, Love is a feeling
Quench my desire
Give it when I want it
Takin' me higher
Talk to me woman
Love is a feeling
Give in to me
Give in to me
Give in to me, Love is the feeling
I don't wanna hear it
Quench my desire
Takin' me higher
Tell it to the preacher
Satisfy the feeling
Give in to me
Give in to me, I don't wanna
I don't wanna
I don't wanna
Hear it
Give it to the fire
Talk to me woman
Quench my desire
Act like a lady
Talk to me baby
Give in to me, Give in to the fire
Give in to me
Give in to me
Give in to me, Love is a woman
Give in to me
Give in to me
Give in to me
Give in to me, 'Cause I'm on fire
Talk to me woman
Quench my desire
Give it to the feeling"
"Give thanks to Allah Lyrics","2007","Michael-Jackson","Give-thanks-to-Allah-Lyrics","With him,
the keys of the unseen,
the treasures that none know but he,
He knows whatever their reason the Earth and the Sea,
not a live the folk but with his knowledge,
there is not a grain in the darkness of deaths of the Earth
nor anything fresh or dry, green or weather., But it's described in the record clear to those who conveyed.
Give thanks to Allah
For the moon and the stars
Prays in all day full, What is and what was
Take hold of your iman, Don't givin to syaitan
Oh you who believe please give thanks to Allah
Allahu Ghafuur Allahu Rahiim, Allahu yuhibbul Muhsinin
Huwa Khaliquuna Huwa Raziquuna
Wahuha ala kulli syaiin qaadir
Allah is Ghafur Allah is Rahim
Allah is the one who loves the Muhsinin
He is a creater
He is a sustainer and, He is the one who has power over all
Give thanks to Allah
For the moon and the stars
Prays in all day full
What is and what was
Take hold of your iman
Don't givin to syaitan
Oh you who believe please give thanks to Allah
Allahu Ghafuur Allahu Rahiim
Allahu yuhibbul Muhsinin
Huwa Khaliquuna Huwa Raziquuna
Wahuha ala kulli syaiin qaadir
Allah is Ghafur Allah is Rahim
Allah is the one who loves the Muhsinin
He is a creater
He is a sustainer and
He is the one who has power over all."
"Gone Too Soon Lyrics","1991","Michael-Jackson","Gone-Too-Soon-Lyrics","Like A Comet
Blazing 'Cross The Evening Sky...
Gone Too Soon, Like A Rainbow
Fading In The Twinkling Of An Eye...
Gone Too Soon, Shiny And Sparkly
And Splendidly Bright...
Here One Day
Gone One Night..., Like The Loss Of Sunlight
On A Cloudy Afternoon...
Gone Too Soon, Like A Castle
Built Upon A Sandy Beach...
Gone Too Soon., Like A Perfect Flower
That Is Just Beyond Your Reach.
Gone Too Soon., Born To Amuse, To Inspire, To Delight
Here One Day.
Gone One Night., Like A Sunset
Dying With The Rising Of The Moon...
Gone Too Soon
Gone Too Soon"
"Gone Too Soon (Immortal Version) Lyrics","2011","Michael-Jackson","Gone-Too-Soon-Immortal-Version-Lyrics","Like a comet
Blazing 'cross the evening sky
Gone too soon, Like a rainbow
Fading in the twinkling of an eye
Gone too soon, Shiny and sparkly
And splendidly bright
Here one day
Gone one night, Like the loss of sunlight
On a cloudy afternoon
Gone too soon, Like a castle
Built upon a sandy beach
Gone too soon, Like a perfect flower
That is just beyond your reach
Gone too soon, Born to amuse, to inspire, to delight
Here one day
Gone one night, Like a sunset
Dying with the rising of the moon
Gone too soon, Gone too soon"
